Reference,Left,KWIC,Right
"PA720996,2017-07-05,El Guerrab, M''jid",avez apporté le soutien de la France à cette nouvelle organisation régionale dans la lutte contre le terrorisme. Je,suis élu,"d'' une circonscription située aux avant-postes dans ce combat, d'' un territoire qui regroupe l'' Afrique du Nord et l''"
"PA906,2017-07-06,Collomb, Gérard",d'' attentats sans précédent dans son histoire : 239 personnes ont perdu la vie au cours de huit attaques ; 900 autres ont,été blessées,", dont certaines se battent pour retrouver une existence normale. Le Premier ministre l'' a souligné mardi à cette"
"PA906,2017-07-06,Collomb, Gérard","attentats perpétrés dans les pays voisins. Je pense à l'' Allemagne , où le marché de Berlin et la gare de Düsseldorf ont",été attaqués,"cet hiver. Je pense également à la Suède , endeuillée par l'' attentat de Stockholm , et à la Russie , qui a été marquée par l''"
"PA719202,2017-07-06,Paris, Didier","exceptionnels doit avoir, selon la formule du Conseil d'' État , des effets limités dans le temps et dans l'' espace. Il a",été accompagné,", dès sa mise en œuvre en 2015, par l'' institution d'' un contrôle parlementaire, que nous avons opéré à de nombreuses"
"PA719202,2017-07-06,Paris, Didier",juridiques ou de vides opérationnels. Aucune rupture dans la protection de nos concitoyens ou de notre sol ne saurait,être acceptée,". Cependant, la protection des libertés individuelles suppose, en même temps, de transférer en droit commun certains"
"PA720430,2017-07-06,Bernalicis, Ugo",", tout d'' abord, que vous connaissez sans doute, ancien juge antiterroriste désormais à Lille – comme moi, du reste, qui",suis élu,"de la deuxième circonscription du Nord –, déclarait : "" l'' état d'' urgence, c'' est débile "". "" Les flopées de"
"PA720704,2017-07-06,Vichnievsky, Laurence",policiers. Nous avons tous déjà insisté sur ce point et je veux m'' associer aux hommages qui ont été rendus. Un policier a,été assassiné,"sur les Champs-Élysées le 20 avril et un terroriste a percuté, avec son véhicule, un fourgon de gendarmerie le 19 juin."
"PA721270,2017-07-06,Peu, Stéphane",", depuis les terribles attentats du 13 novembre 2015 à Paris et aux abords du Stade de France à Saint-Denis , ville où je",suis élu,", notre pays vit sous le régime de l'' état d'' urgence. Si nous avions approuvé, à l'' époque, dans un contexte inédit, la"
"PA335054,2017-07-06,Karamanli, Marietta",l'' état d'' urgence constitue une réponse inadaptée. Enfin je rappelle que chaque loi prolongeant l'' état d'' urgence a,été accompagnée,de dispositions nouvelles visant à étendre le champ des mesures pouvant être ordonnées par le ministère de l''
"PA606212,2017-07-06,Collard, Gilbert",jour où l'' on rend des comptes aux électeurs et où il faut leur expliquer ses décisions. Il est vrai que nos policiers ont,été agressés,"pendant l'' état d'' urgence, que des dégradations ont été commises et que des attentats ont eu lieu, mais qui d'' entre nous"
"PA721960,2017-07-06,Obono, Danièle","responsables si un nouvel attentat a lieu, car nous sommes tous et toutes des responsables politiques ; nous avons",été élus,"pour prendre en charge, discuter, débattre et assumer la responsabilité de ce qui se passe aujourd''hui. Quel rapport"
"PA2150,2017-07-06,Mélenchon, Jean-Luc",? Et nous avons vaincu. Outre l'' argument de l'' efficacité invoqué par nos deux collègues – l'' un suggérant que les moyens,soient contrôlés,"autant que les opérations elles-mêmes –, nous grandirions notre démocratie en montrant qu'' elle est capable de"
"PA267785,2017-07-06,Larrivé, Guillaume","insoumise est vraiment contraire à la Constitution , dans la mesure où celle-ci exclut que les actes d'' administration",soient contrôlés,"par l'' autorité judiciaire. Si je lis bien votre amendement, vous proposez que le juge de l'' application des peines"
"PA720684,2017-07-06,Dumont, Pierre-Henri",". Le retrait des documents d'' identité ne vaudrait que pour un temps donné, et les personnes concernées pourraient",être assistées,"par des conseils ou des mandataires, afin que leurs droits soient garantis. Monsieur le rapporteur, quel est l'' avis de"
"PA719202,2017-07-06,Paris, Didier","le censurer. En outre, serait - il légitime que le droit français ne considère pas tous les détenus, y compris ceux ayant",été condamnés,"pour terrorisme, comme des sujets de droit ? Il n'' est pas certain, dans une telle hypothèse, que nous n'' obtenions pas un"
",2017-07-10,","se termine par un contentieux, et que 60 % des contentieux vont en appel, faute de règles claires ? Savez - vous qu'' on peut",être condamné,"aux prud''hommes pour avoir mal rédigé une lettre de licenciement, alors même que les raisons de fond qu'' on avance sont"
"PA720512,2017-07-10,Pietraszewski, Laurent",à l'' employeur. Ce n'' est pas le sujet ! Cette nouvelle organisation du dialogue social dans l'' entreprise,est accompagnée,", en toute logique, de mesures visant à renforcer la formation des élus du personnel et des représentants syndicaux. L''"
"PA608083,2017-07-10,Bourguignon, Brigitte","l'' attachement de notre commission aux droits de l'' opposition. Ainsi, même s'' il ne s'' agit que d'' une faculté qui lui","était laissée, elle a accepté",", de manière inédite, la désignation anticipée d'' un député de l'' opposition en qualité de rapporteur sur l''"
"PA610681,2017-07-10,Bareigts, Ericka","ni avantages du marché du travail, ni avantages économiques. En outre, les changements postérieurs à la crise ont",été accompagnés,d'' une augmentation de l'' emploi précaire dans les pays qui avaient particulièrement misé sur les efforts de
"PA610681,2017-07-10,Bareigts, Ericka","des réformes Hartz sur le marché du travail allemand, fait état du même constat : les réformes du droit du travail se",sont accompagnées,d'' un accroissement de l'' emploi précaire. Elle indique aussi que le faible impact de la crise de 2008-2009 sur le marché
"PA610681,2017-07-10,Bareigts, Ericka","telle instabilité professionnelle, comment le relèvement des seuils de plan de sauvegarde de l'' emploi pourrait - il",être accepté,? Notre éloignement emporte également des conséquences sur notre organisation économique. Notre tissu économique
"PA610681,2017-07-10,Bareigts, Ericka",. Par ces quelques exemples nous voulons démontrer qu'' il existe un chemin vers une réforme progressiste et que nous ne,sommes pas condamnés,"à choisir entre une réponse libérale, à l'' efficacité et à la justice douteuse, et le conservatisme permanent. Madame"
"PA719930,2017-07-10,Vallaud, Boris",": il avait été annoncé. J'' aimerais toutefois vous faire part d'' une conviction, moi qui, comme beaucoup d'' entre vous,",suis élu,"pour la première fois : il ne peut pas y avoir de grandes réformes, sur des sujets qui engagent la vie quotidienne de nos"
"PA609590,2017-07-10,Rabault, Valérie",", alors même que le groupe auquel elle appartient réalise d'' importants bénéfices. Voyez-vous, madame la ministre, je",suis élue,"dans une circonscription où vivent de nombreux salariés de Molex . Si votre disposition avait existé en 2009, ces"
"PA606712,2017-07-10,Lurton, Gilles",", un système beaucoup trop fastidieux à tenir à jour, véritable casse-tête pour les entreprises : si nous avions",été écoutés,"à l'' époque, nous aurions gagné quatre ans. Qui était ministre de l'' économie, à l'' époque ? Enfin, je tiens, madame la"
"PA606212,2017-07-10,Collard, Gilbert","parce qu'' on vous a dit de le faire ! C '' est insultant ! Non, je n'' insulte personne ; si je devais vous insulter, vous",seriez écrasés,"! Je dis simplement que quand on a la chance d'' avoir reçu un mandat du peuple, on ne le brade pas. Vous avez à défendre le"
",2017-07-10,","pas. Quand on sait que plus de 80 % des accords d'' entreprise sont signés par les organisations syndicales qui, elles,",sont élues,"par les salariés et donc parfaitement légitimes pour les représenter, cette appréciation éclaire l'' ensemble de vos"
"PA722102,2017-07-10,Vidal, Annie","nous incarnons le renouveau attendu par tant de citoyens ( Exclamations sur plusieurs bancs du groupe LR. ) –, ont",été choisis et élus,en raison d'' un certain profil de compétences professionnelles et sociales qui nous prédisposent à accomplir ce
"PA722046,2017-07-10,Bergé, Aurore","que le chômage structurel est une exception française. Pour notre part, au sein de la majorité, nous refusons qu'' on",soit condamné,à choisir entre deux options : subir les mutations économiques ou être assigné à résidence. Vous avez fait référence à
"PA721062,2017-07-10,Ratenon, Jean-Hugues","l'' amendement n° 123. À mon sens, il faut répéter, répéter ... Arrivera peut-être le moment où nos explications",seront comprises,. L'' article 1er vise à habiliter le Gouvernement à réécrire la totalité des dispositions du code du travail pour
"PA718720,2017-07-10,Dufrègne, Jean-Paul","de négocier sous certaines conditions. Certes, dans les entreprises de moins de cinquante salariés, ils doivent",être élus,"et mandatés par une organisation syndicale représentative dans la branche, et, s'' ils n'' ont pas été mandatés, ils ne"
"PA718720,2017-07-10,Dufrègne, Jean-Paul","de négocier sous certaines conditions. Certes, dans les entreprises de moins de cinquante salariés, ils doivent",être élus et mandatés,"par une organisation syndicale représentative dans la branche, et, s'' ils n'' ont pas été mandatés, ils ne peuvent"
"PA609726,2017-07-11,Aubert, Julien",des salariés aux élections syndicales. Si l'' on a pu dire tout à l'' heure que le Président de la République avait,été élu,"par 18 % des électeurs, selon le même raisonnement, quand la CGT ou FO fait 50 % des voix, leur majorité ou leur"
"PA267306,2017-07-11,Chassaigne, André","à la protection des salariés et si, dans la circonscription que vous représentez, sur le territoire où vous avez",été élu,", un site industriel ferme parce que les actionnaires veulent augmenter le profit en délocalisant, vous serez tous"
"PA720512,2017-07-11,Pietraszewski, Laurent","est l'' avis de la commission sur ces deux amendements ? Notre préférence va à la rédaction de l'' amendement n° 449, qui a",été accepté,par la commission et reçoit donc un avis favorable. Nous repoussons en revanche l'' amendement n° 277 rectifié. Quel est
"PA722110,2017-07-11,Wulfranc, Hubert","du personnel. Cet amendement vient donc clarifier le champ de l'' ordonnance, grâce à une procédure simple, claire, qui",sera comprise,"par toutes les parties prenantes, et qui créera les conditions d'' une confiance mutuelle et d'' un dialogue social de"
"PA720692,2017-07-11,Roussel, Fabien","avec courage et conviction. Sept ans après, les dirigeants français qui ont participé à cette vile opération ont",été condamnés,"à des peines de prison ferme. Mais ces femmes n'' ont jamais réussi à faire valoir leurs droits, à retrouver leur emploi ni"
"PA2150,2017-07-11,Mélenchon, Jean-Luc","? Même avis, pour les mêmes raisons. La parole est à M. Jean-Luc Mélenchon . Il n'' y a ici aucune erreur, et tout le monde s''",est bien compris,". Autant aborder les sujets lorsqu'' ils se présentent ; on peut admettre, en effet, que ce ne soit pas pile-poil le"
"PA720512,2017-07-11,Pietraszewski, Laurent","considéré comme du temps de travail effectif et payé comme tel, pour préparer chaque réunion, la durée de ce temps",étant comprise,entre quinze heures et la moitié de la durée légale du travail mensuel. Aux termes de l'' article L. 2411-1 du code du
"PA720512,2017-07-11,Pietraszewski, Laurent",à étendre la place des représentants des salariés dans le conseil d'' administration des sociétés dont les actions,sont admises,"aux négociations sur un marché réglementé, a été repoussé par la commission. Je voudrais rappeler – nous l'' avons"
"PA713448,2017-07-12,Brenier, Marine","d'' un camion. À cause de sa folie meurtrière, quatre-vingt-six personnes ont perdu la vie, quatre cents autres ont",été blessées,"et un nombre incalculable sont traumatisées à vie. Ils étaient des femmes, des hommes, des enfants. Ils voulaient"
"PA345619,2017-07-12,Philippe, Édouard","vécu de près ou de loin cet événement, ceux qui étaient sur place, les familles des victimes, ceux dont des proches ont",été blessés,", ceux qui ont survécu sans rien oublier de cette nuit de cauchemar, ceux qui, par leur courage ou par leur bienveillance"
"PA721210,2017-07-12,Corbière, Alexis",touchons là à une question de fond : acceptez - vous que votre droit de législateur vous soit retiré ? Acceptez - vous d'',être dépossédés,"de votre droit à la discussion et à l'' examen détaillé ? N '' y a -t - il pas là un grand danger ? Vous sentez -vous à l'' aise, en"
"PA267785,2017-07-12,Larrivé, Guillaume","entreprises qui ont dû mettre la clé sous la porte parce que le chef d'' entreprise, de bonne foi, a fait une erreur et a",été condamné,"par les prud''hommes à payer une indemnité disproportionnée. Donnez - nous la liste ! Voilà la vérité ! La vérité, c'' est"
",2017-07-12,","avait été supprimé, expliquant simplement qu'' il recourait au licenciement parce qu'' il avait perdu un marché. Et il a",été condamné,! En toute conformité juridique d'' ailleurs : les juges ont agi en toute observation du droit en vigueur. Cette
"PA267306,2017-07-12,Chassaigne, André","de conquêtes sociales. Ce qu'' il disait aussi, c'' est que le patronat ne lâche jamais, qu'' il veut détruire ce qui a",été arraché,"au fil des décennies. C '' est donc l'' intérêt de vos enfants, de vos familles, que de maintenir ces protections ! La parole"
"PA720512,2017-07-12,Pietraszewski, Laurent","pas les arguments que j'' ai développés en commission, sauf pour rappeler que les peines auxquelles nous pouvons",être condamnés,"en droit pénal si nous commettons un délit, nous tous simples citoyens, sont plafonnées. Ce n'' est peut-être pas"
"PA267585,2017-07-12,Vercamer, Francis",souhaitent plafonner ou en tout cas avoir une meilleure visibilité des dommages et intérêts auxquels ils pourraient,être condamnés,"en cas de litige avec un salarié, en particulier de licenciement dit abusif. Je le comprends, et c'' est pourquoi nous ne"
"PA717379,2017-07-12,Maillard, Sylvain","pragmatiques. Dans une procédure de licenciement, l'' intérêt du chef d'' entreprise est de négocier. En effet, s'' il",est condamné,"par le conseil des prud''hommes, il devra payer les charges patronales correspondantes, soit un renchérissement d'' en"
"PA719578,2017-07-12,Prud''homme, Loïc","alinéa, le périmètre sera encore modifié. Aujourd''hui , les difficultés économiques d'' une entreprise qui licencie",sont appréciées,"au niveau du groupe, à l'' échelle internationale. Avec ce projet de loi, elles s'' apprécieraient sur le seul territoire"
"PA606712,2017-07-12,Lurton, Gilles","de la cause économique "", les mots : "" géographique et le secteur d'' activité dans lesquels la cause économique",est appréciée,""". Très bien ! Vous ouvrez la porte à toutes les dérives. Quel est l'' avis de la commission ? Monsieur Lurton , si la"
",2017-07-12,","les salariés aspirent à sortir de la précarité et à signer des CDI. Les CDI de chantier sont bien, en ce sens, des CDI : ils",sont accompagnés,d'' un droit à la formation beaucoup plus important ; le montant des indemnités de licenciement augmente avec l''
"PA720512,2017-07-12,Pietraszewski, Laurent",cas où le travail de nuit relève d'' une organisation collective du travail ne pose pas de difficulté. Cet amendement a,été accepté,"par la commission et, à titre personnel, j'' y suis moi aussi favorable. Ah bon ? Je suis saisi de deux amendements"
"PA720512,2017-07-12,Pietraszewski, Laurent",des nouveaux conseillers prud''homaux le 1er janvier 2018. Quel est l'' avis de la commission ? L'' amendement a,été accepté,par la commission. La parole est à M. Francis Vercamer . Je souhaite appeler votre attention sur le fait que le mandat des
"PA267585,2017-07-12,Vercamer, Francis",que le mandat des conseillers prud''homaux actuels a déjà été porté de cinq à neuf ans. La durée de leur mandat aura ainsi,été doublée,". De nombreux députés aimeraient sans doute bénéficier de cette possibilité, mais je ne suis pas sûr que les"
"PA721896,2017-07-12,Faucillon, Elsa",", nous vous proposons de figer dans la loi la jurisprudence en vertu de laquelle les difficultés économiques",sont appréciées,"au niveau du secteur d'' activité du groupe et ce, qu'' il soit national ou international. Cette proposition va donc à"
"PA720512,2017-07-12,Pietraszewski, Laurent",". Le motif économique, comme je l'' ai dit tout à l'' heure au sujet de la sauvegarde de la compétitivité de l'' entreprise,",est apprécié,"de manière constante par le juge afin d'' en évaluer la réalité. En outre, pour des raisons de constitutionnalité, une"
"PA607846,2017-07-13,Darmanin, Gérald",paiement de l'' impôt sur le revenu au sein du foyer. Précisons que 90 % des personnes qui acquittent l'' impôt sur le revenu,sont imposées à un taux compris,"entre 0 et 10 % : on ne peut pas déduire de taux si semblables la situation familiale de ces contribuables, leur revenu,"
"PA607846,2017-07-13,Darmanin, Gérald",", ne vous inquiétez pas. Mais il était un temps, pas si éloigné où, quand je siégeais sur ces bancs, c'' était une honte d''",être applaudi,"par le Front national . Je ne fais que le constater. Pas de leçon de morale, Judas ! À la différence de vous, madame Le Pen ,"
"PA719890,2017-07-13,Brulebois, Danielle","reprise. Nous en revenons aux amendements portant article additionnel après l'' article 3. Hier soir, l'' Assemblée s''",est arrêtée,"à l'' amendement n° 298. La parole est à M. Jean-Luc Mélenchon , pour le soutenir. L'' amendement n° 298 propose de"
",2017-07-13,","embauches uniquement avec des jeunes, de telle sorte que plus un seul demandeur d'' emploi adulte ou senior ne pourrait",être embauché,". En deuxième lieu, cette mesure conduirait à embaucher sans tenir compte des qualifications. Un effort massif est"
"PA722142,2017-07-13,Ruffin, François","l'' Élysée qui a fait de ces questions une obsession mais je répète, chers députés de la République en marche, que vous n''",êtes pas condamnés,à faire de cette manie la vôtre ! Songez qu'' il y a aujourd''hui des tas de questions sur lesquelles nous pourrions agir
"PA606712,2017-07-13,Lurton, Gilles","à gaz, que nous avons dénoncée à plusieurs reprises sous la précédente législature. Nous regrettons de ne pas avoir",été écoutés,". Oui, il existe des métiers pénibles. Oui, il faut reconnaître cette pénibilité, mais pas avec un système aussi"
"PA722202,2017-07-13,Jumel, Sébastien","des critères de pénibilité et notamment celui relatif à la manutention, ce qui concerne directement les dockers – je",suis élu,"d'' un département dans lequel les dockers comptent, Jean-Paul Lecoq vous en parlera mieux que moi. Les postures"
"PA721062,2017-07-13,Ratenon, Jean-Hugues","même avis, le Conseil d'' État estime que le respect des autres étapes prévues par l'' article L. 1 du code du travail devra",être apprécié,". Pour le dire plus clairement, le Gouvernement veut totalement bouleverser, casser, briser le droit du travail issu"
",2017-07-13,","du Gouvernement ? Défavorable également. Au risque de me répéter, je veux clarifier mon propos car je tiens à ce qu'' il",soit bien compris,. Les dix critères sont maintenus. Ce n'' est pas vrai ! Tous les facteurs permettant de définir la pénibilité
"PA2150,2017-07-13,Mélenchon, Jean-Luc","un effet de contagion extrêmement dangereux pour l'' équilibre de ces comptes. En effet, 10 % des travailleurs détachés",sont en réalité embauchés,par des entreprises françaises qui ont une assise au Luxembourg ou dans des pays voyous ayant des statuts fiscaux de
"PA2150,2017-07-13,Mélenchon, Jean-Luc","pillages fiscaux auxquels ce pays se livre. Si nous ne mettons pas fin à cette affaire, vous verrez que petit à petit tout",sera dévoré,"de l'' intérieur. On nous dira, à nous les législateurs, de créer des conditions égales pour tout le monde, c''est-à-dire"
"PA2150,2017-07-13,Mélenchon, Jean-Luc","des travailleurs de plein droit relevant du pays dans lequel ils travaillent, alors que les travailleurs détachés",sont embauchés,par une entreprise située dans un autre endroit que celui où ils vont travailler et qui fait appel à ce statut
"PA2150,2017-07-13,Mélenchon, Jean-Luc","des travailleurs de plein droit relevant du pays dans lequel ils travaillent, alors que les travailleurs détachés",sont embauchés par une entreprise située,dans un autre endroit que celui où ils vont travailler et qui fait appel à ce statut particulier. Mon intervention
"PA719558,2017-07-13,Balanant, Erwan",", que vous proposez, que le Gouvernement et le rapporteur vous répondent en exposant la vision de la majorité. Elle a",été élue,". C '' est la démocratie. J'' avais déposé un amendement, mais il n'' a pas été retenu, c'' est aussi la démocratie. On a chacun"
"PA721960,2017-07-13,Obono, Danièle",", car la majorité des amendements qui ont donné l'' occasion d'' avoir un débat et de préciser certaines choses n'' ont pas",été acceptés,". On ne peut que le constater. Le débat va peut-être se terminer ici, mais il se poursuivra dans la société, car nous"
"PA721202,2017-07-13,Coquerel, Éric","les prud''hommes – et c'' est pourtant tout ce qu'' on retrouve dans le texte. Ainsi, lorsque vous nous dites que vous avez",été élus,"par les Français pour casser le code du travail en quatre jours de débats et avec des ordonnances, je m'' inscris en faux,"
"PA721202,2017-07-13,Coquerel, Éric","à voter. Alors non, chers collègues, vous n'' avez pas le mandat du peuple français. Je vous rappelle que M. Macron a",été élu,"pour battre Mme Le Pen . Vous devez en tenir compte, comme nous le ferions si nous avions été élus, comme lui, par 15 % des"
"PA721202,2017-07-13,Coquerel, Éric","rappelle que M. Macron a été élu pour battre Mme Le Pen . Vous devez en tenir compte, comme nous le ferions si nous avions",été élus,", comme lui, par 15 % des inscrits. Puisque vous voulez révolutionner le code du travail dans le mauvais sens du terme, c''"
"PA267306,2017-07-13,Chassaigne, André","conséquences précises, concrètes, humaines pour la vie quotidienne des salariés – d'' où la nécessité qui, je le crois,",sera comprise,", d'' adopter cet amendement. Vous avez dit tout à l'' heure que le temps parlementaire était celui du contrôle de l'' action"
"PA607846,2017-07-18,Darmanin, Gérald",% du produit intérieur brut – encore supérieur à la cible européenne de 3 % du PIB. Rappelons d'' ailleurs que celle-ci a,été acceptée,comme plafond : notre engagement européen est d'' arriver à un déficit à 0 % du PIB. Ces 3 % n'' ont pas été atteints depuis
"PA607846,2017-07-18,Darmanin, Gérald","de la commission des finances, monsieur le rapporteur général, voici venu – espérons - le – le temps nouveau où la LOLF",sera écoutée,", où l'' on pourra se pencher sur l'' exécution du budget et demander, ministre par ministre, programme par programme,"
"PA607846,2017-07-18,Darmanin, Gérald",". Il faudra donc beaucoup de courage en début de mandat pour faire ces réformes structurelles, et nous aurons besoin d''",être accompagnés,"par les parlementaires. Il ne faudra pas, en effet, combattre ces réformes structurelles tout en déplorant que la"
"PA267336,2017-07-18,Giraud, Joël","peu inutile. Au-delà, je crois franchement que vous ne rendriez pas service à la Cour des comptes . Celle-ci, en effet,",serait sans doute accusée,"d'' intervenir dans le débat présidentiel, ce qui pourrait nuire à sa neutralité à terme. Je donnerai donc un avis"
"PA267336,2017-07-18,Giraud, Joël","la recherche, madame Rabault , mais elle est, me semble -t - il, largement satisfaite : chaque loi de finances",est accompagnée,d'' une annexe consacrée aux politiques nationales de recherche et de formation supérieure – tel est son libellé exact.
"PA607846,2017-07-18,Darmanin, Gérald",pas ? Associez - vous donc à M. Le Fur pour déposer une proposition de loi organique commune. Cela ne manquera pas d'',être apprécié,". Ensuite, il y a une question de philosophie. Souhaitez - vous tous collectivement – et je pense que c'' est ce qu'' il y a de"
"PA607846,2017-07-18,Darmanin, Gérald","tous collectivement – et le Gouvernement y est défavorable, tout du moins j'' y suis défavorable – à des instances qui ne",sont pas élues,", quelles que puissent être leur compétence et leur légitimité, la responsabilité de donner un avis sur l'' évaluation"
"PA609590,2017-07-18,Rabault, Valérie",du Gouvernement ? Défavorable. La parole est à Mme Valérie Rabault . Je voterai l'' amendement de M. Coquerel . Quand j'' ai,été élue,"rapporteure générale de la commission des finances en avril 2014, j'' ai mis trois ans – je dis bien trois ans – à obtenir de"
"PA643210,2017-07-18,Lecornu, Sébastien","nouveauté, c'' est l'' élargissement de la saisine de la CNDP pour les grands projets, c''est-à-dire ceux dont le coût",est compris,"entre 150 et 300 millions d'' euros, actuellement rendus publics par les maîtres d'' ouvrage ou par la personne publique"
"PA643210,2017-07-18,Lecornu, Sébastien","députés, notamment pour les territoires ruraux. La transition numérique, y compris pour ces questions, doit",être accompagnée,", et la CNDP y veillera pour ne pas exclure les citoyens du débat. Si besoin est, la concertation papier sera toujours"
"PA267204,2017-07-18,Sermier, Jean-Marie","modernisés, ce qui nous paraît être un point singulièrement positif. Jusqu'' à un passé récent, les députés pouvaient",être aussi élus,"locaux, ce qui était loin d'' être inintéressant. Cela leur permettait d'' avoir eux-mêmes, en tant que responsables de"
